,Title,Date,Score
353,Trivial Pursuit Live! (PS4),"Feb 17, 2015",4.1
354,Trivial Pursuit Live! (PS3),"Feb 17, 2015",tbd
355,Monkey King Escape (iOS),"Feb 17, 2015",tbd
356,Assassin's Creed Unity: Underground Armory Pack (XONE),"Feb 10, 2015",tbd
357,Assassin's Creed Unity: Underground Armory Pack (PS4),"Feb 10, 2015",tbd
358,Grow Home (PC),"Feb 4, 2015",7.4
359,RISK (XONE),"Feb 3, 2015",6.1
360,RISK (PS4),"Feb 3, 2015",5.7
361,Trivial Pursuit Live! (XONE),"Feb 3, 2015",7.0
362,Heroes of Might & Magic III - HD Edition (PC),"Jan 29, 2015",4.3
363,Heroes of Might & Magic III - HD Edition (iOS),"Jan 29, 2015",7.4
364,Trials Fusion: Fire in the Deep (PS4),"Jan 27, 2015",tbd
365,Assassin's Creed Unity: Secrets of the Revolution (PS4),"Jan 20, 2015",tbd
366,Assassin's Creed Unity: Secrets of the Revolution (XONE),"Jan 20, 2015",tbd
367,Assassin's Creed Unity: Secrets of the Revolution (PC),"Jan 20, 2015",tbd
368,Monopoly Plus (X360),"Jan 14, 2015",5.2
369,Monopoly Deal (X360),"Jan 14, 2015",tbd
370,Monopoly Plus (XONE),"Jan 13, 2015",6.1
371,Assassin's Creed Unity: Dead Kings (PS4),"Jan 13, 2015",6.4
372,Assassin's Creed Unity: Dead Kings (XONE),"Jan 13, 2015",5.4
373,Assassin's Creed Unity: Dead Kings (PC),"Jan 13, 2015",6.3
374,Monopoly Deal (PS3),"Jan 13, 2015",tbd
375,Monopoly Plus (PS3),"Jan 13, 2015",6.5
376,Far Cry 4: Escape from Durgesh Prison (XONE),"Jan 13, 2015",tbd
377,Far Cry 4: Escape from Durgesh Prison (PS4),"Jan 13, 2015",5.6
378,Assassin's Creed Rogue: Templar Legacy Pack (X360),"Jan 13, 2015",tbd
379,Assassin's Creed Rogue: Templar Legacy Pack (PS3),"Jan 13, 2015",tbd
380,Tetris Ultimate (PS4),"Dec 16, 2014",3.6
381,Tetris Ultimate (XONE),"Dec 16, 2014",4.3
382,The Crew (XONE),"Dec 2, 2014",5.7
383,The Crew (PS4),"Dec 2, 2014",5.3
384,The Crew (X360),"Dec 2, 2014",6.4
385,Monopoly Deal (PS4),"Dec 2, 2014",4.8
386,Monopoly Plus (PS4),"Dec 2, 2014",5.3
387,The Crew (PC),"Dec 1, 2014",6.3
388,Assassin's Creed Unity: Revolutionary Armaments Pack (XONE),"Nov 25, 2014",tbd
389,Assassin's Creed Unity: Revolutionary Armaments Pack (PS4),"Nov 25, 2014",tbd
390,ANNO: Build an Empire (iOS),"Nov 20, 2014",tbd
391,Watch Dogs (WIIU),"Nov 18, 2014",6.4
392,Rabbids Invasion (XONE),"Nov 18, 2014",6.0
